category,total_samples,true_positives,false_positives,true_negatives,false_negatives,precision,recall,f1_score,false_positive_rate
Overall,175341,65648,8535,47465,53693,0.8849466858983864,0.5500875642067689,0.6784481511337095,0.1524107142857143
Analysis,2000,1004,8535,47465,996,0.10525212286403186,0.502,0.17401854580119594,0.1524107142857143
Backdoor,1746,869,8535,47465,877,0.09240748617609527,0.497709049255441,0.1558744394618834,0.1524107142857143
DoS,12264,5976,8535,47465,6288,0.4118255116807939,0.487279843444227,0.44638655462184873,0.1524107142857143
Exploits,33393,10681,8535,47465,22712,0.5558388842631141,0.3198574551552721,0.40605219639225226,0.1524107142857143
Fuzzers,18184,5963,8535,47465,12221,0.4112981100841495,0.32792564892212933,0.3649103482039043,0.1524107142857143
Generic,40000,39290,8535,47465,710,0.821536853110298,0.98225,0.8947338457159123,0.1524107142857143
Reconnaissance,10491,1741,8535,47465,8750,0.16942390035033086,0.16595176818225146,0.16766986083690472,0.1524107142857143
Shellcode,1133,108,8535,47465,1025,0.012495661228740022,0.09532215357458076,0.0220949263502455,0.1524107142857143
Worms,130,16,8535,47465,114,0.0018711261840720383,0.12307692307692308,0.0036862112659831817,0.1524107142857143
